generation,id,novelty,score,species,parent1,parent2
299,54878,0.4566613266922002,0.186561,15,54751,54756
300,55498,0.4575472233237847,0.951861,17,55389,55399
301,54878,0.46555517004929264,0.186561,15,54751,54756
302,55716,0.4405331417879352,1.760731,16,55616,55638
303,57111,0.47094479024998775,0.546625,15,56957,54878
304,54878,0.4586912618021782,0.186561,15,54751,54756
305,55716,0.4597697196596979,1.760731,16,55616,55638
306,55716,0.4585077014466066,1.760731,16,55616,55638
307,55716,0.4590200668996669,1.760731,16,55616,55638
308,55716,0.4625277747921203,1.760731,16,55616,55638
309,55716,0.4616417062580358,1.760731,16,55616,55638
310,55716,0.4615369004994761,1.760731,16,55616,55638
311,58706,0.4817185756936333,0.471197,16,58515,58518
312,58706,0.4485863604533856,0.471197,16,58515,58518
313,54878,0.44352444312664296,0.186561,15,54751,54756
314,55716,0.46341725128210515,1.760731,16,55616,55638
315,55716,0.4583817611429083,1.760731,16,55616,55638
316,54878,0.466217380732385,0.186561,15,54751,54756
317,54878,0.45560235325401954,0.186561,15,54751,54756
318,59992,0.4753313138019349,0.509481,16,59777,59768
319,60200,0.4655538943900121,0.88048,16,59990,59970
320,55716,0.4616417062580358,1.760731,16,55616,55638
321,55716,0.4562865494962909,1.760731,16,55616,55638
322,54878,0.45719040112605136,0.186561,15,54751,54756
323,54878,0.4618570739143541,0.186561,15,54751,54756
324,54878,0.45680821324564946,0.186561,15,54751,54756
325,54878,0.4638562078910826,0.186561,15,54751,54756
326,54878,0.4709595584014246,0.186561,15,54751,54756
327,55716,0.4348502332582267,1.760731,16,55616,55638
328,55716,0.4202735622694132,1.760731,16,55616,55638
329,55716,0.4503732147319288,1.760731,16,55616,55638
330,54878,0.4468940662256999,0.186561,15,54751,54756
331,54878,0.4664293861523712,0.186561,15,54751,54756
332,55716,0.44615434394286063,1.760731,16,55616,55638
333,62686,0.41520213734846306,0.866509,15,54878,62491
334,62686,0.4336241790080713,0.866509,15,54878,62491
335,63161,0.4267638513320422,0.446583,16,63040,63040
336,62686,0.4463453439822177,0.866509,15,54878,62491
337,63501,0.4399078744210149,1.153946,19,63316,63329
338,62686,0.44667178353806947,0.866509,15,54878,62491
339,63934,0.4300434510473371,0.975408,16,63722,63128
