generation,id,parent,success_keys
22,934,898,[227]
22,935,890,[182]
23,942,753,[237]
23,945,577,[237]
23,954,369,[232]
23,959,854,[229]
23,961,835,[216]
23,965,907,[191]
23,966,371,[204]
23,971,907,[188]
23,980,866,[229]
24,988,695,[237]
24,989,649,[221]
24,993,622,[229]
24,995,426,[203]
24,997,649,[221]
24,1010,512,[208]
24,1016,773,[244]
25,1035,966,[227]
25,1045,500,[259]
25,1047,863,[259]
25,1059,585,[212]
26,1063,561,[259]
26,1066,966,[227]
26,1086,581,[221]
26,1099,674,[225]
27,1105,555,[245]
27,1109,842,[270]
27,1115,863,[279]
27,1120,966,[276]
27,1123,890,[270]
27,1129,506,[245]
27,1134,644,[245]
27,1138,539,[255]
27,1139,890,[251]
28,1141,912,[284]
28,1142,589,[276]
28,1151,759,[288]
28,1155,607,[270]
28,1158,890,[267]
28,1162,675,[246]
28,1163,782,[247]
