generation,id,fitness,species,parent1,parent2
321,51459,6.487793,5,48448,43570
322,51459,6.487793,5,48448,43570
323,51459,6.487793,5,48448,43570
324,51459,6.487793,5,48448,43570
325,51459,6.487793,5,48448,43570
326,51459,6.487793,5,48448,43570
327,51459,6.487793,5,48448,43570
328,51459,6.487793,5,48448,43570
329,51459,6.487793,5,48448,43570
330,51459,6.487793,5,48448,43570
331,51459,6.487793,5,48448,43570
332,51459,6.487793,5,48448,43570
333,51459,6.487793,5,48448,43570
334,51459,6.487793,5,48448,43570
335,51459,6.487793,5,48448,43570
336,51459,6.487793,5,48448,43570
337,51459,6.487793,5,48448,43570
338,51459,6.487793,5,48448,43570
339,51459,6.487793,5,48448,43570
340,51459,6.487793,5,48448,43570
341,51459,6.487793,5,48448,43570
342,51459,6.487793,5,48448,43570
343,51459,6.487793,5,48448,43570
344,51459,6.487793,5,48448,43570
345,51459,6.487793,5,48448,43570
346,51459,6.487793,5,48448,43570
347,51459,6.487793,5,48448,43570
348,51459,6.487793,5,48448,43570
349,51459,6.487793,5,48448,43570
350,51459,6.487793,5,48448,43570
351,51459,6.487793,5,48448,43570
352,51459,6.487793,5,48448,43570
353,51459,6.487793,5,48448,43570
354,51459,6.487793,5,48448,43570
355,51459,6.487793,5,48448,43570
356,51459,6.487793,5,48448,43570
357,51459,6.487793,5,48448,43570
358,51459,6.487793,5,48448,43570
359,51459,6.487793,5,48448,43570
360,51459,6.487793,5,48448,43570
361,51459,6.487793,5,48448,43570
362,51459,6.487793,5,48448,43570
363,51459,6.487793,5,48448,43570
364,51459,6.487793,5,48448,43570
365,51459,6.487793,5,48448,43570
366,51459,6.487793,5,48448,43570
367,51459,6.487793,5,48448,43570
368,51459,6.487793,5,48448,43570
369,51459,6.487793,5,48448,43570
370,68361,6.509246,5,68136,68114
371,68361,6.509246,5,68136,68114
372,68361,6.509246,5,68136,68114
373,68361,6.509246,5,68136,68114
374,68361,6.509246,5,68136,68114
375,68361,6.509246,5,68136,68114
376,68361,6.509246,5,68136,68114
377,68361,6.509246,5,68136,68114
378,68361,6.509246,5,68136,68114
379,68361,6.509246,5,68136,68114
380,68361,6.509246,5,68136,68114
381,68361,6.509246,5,68136,68114
382,68361,6.509246,5,68136,68114
383,68361,6.509246,5,68136,68114
384,68361,6.509246,5,68136,68114
385,68361,6.509246,5,68136,68114
386,68361,6.509246,5,68136,68114
387,71636,6.540968,5,68361,71393
388,71636,6.540968,5,68361,71393
389,71636,6.540968,5,68361,71393
390,71636,6.540968,5,68361,71393
391,71636,6.540968,5,68361,71393
392,71636,6.540968,5,68361,71393
393,71636,6.540968,5,68361,71393
394,71636,6.540968,5,68361,71393
395,71636,6.540968,5,68361,71393
396,71636,6.540968,5,68361,71393
397,71636,6.540968,5,68361,71393
398,71636,6.540968,5,68361,71393
399,71636,6.540968,5,68361,71393
400,71636,6.540968,5,68361,71393
401,71636,6.540968,5,68361,71393
402,71636,6.540968,5,68361,71393
403,71636,6.540968,5,68361,71393
404,71636,6.540968,5,68361,71393
