generation,id,novelty,score,species,parent1,parent2
364,64947,0.5237756946129059,4.270205,16,64820,64852
365,64947,0.4775131754445625,4.270205,16,64820,64852
366,64947,0.4972422401215412,4.270205,16,64820,64852
367,64947,0.5171654036138021,4.270205,16,64820,64852
368,64947,0.5462748112165259,4.270205,16,64820,64852
369,64947,0.5462748112165259,4.270205,16,64820,64852
370,64947,0.5425212168390469,4.270205,16,64820,64852
371,64947,0.543026899711374,4.270205,16,64820,64852
372,64947,0.5473253396996346,4.270205,16,64820,64852
373,64947,0.5423069677493729,4.270205,16,64820,64852
374,64947,0.4843402986463756,4.270205,16,64820,64852
375,64947,0.5394347845440541,4.270205,16,64820,64852
376,64947,0.49748207904675357,4.270205,16,64820,64852
377,64947,0.4843724312926225,4.270205,16,64820,64852
378,64947,0.47349180982322764,4.270205,16,64820,64852
379,64947,0.5114357517802277,4.270205,16,64820,64852
380,64947,0.5191637700842476,4.270205,16,64820,64852
381,64947,0.4541755704507744,4.270205,16,64820,64852
382,72804,0.4568760056310092,2.871107,15,72577,72577
383,72804,0.44491533806794886,2.871107,15,72577,72577
384,72528,0.4166617825218389,2.591145,13,72135,70732
385,73635,0.41535877825694567,2.703697,16,73400,72383
386,72452,0.45914558055792287,1.945226,15,72266,71576
387,72452,0.39240967410611477,1.945226,15,72266,71576
388,74197,0.5438676813722088,4.077141,16,72383,74002
389,74197,0.5481000808264077,4.077141,16,72383,74002
390,74197,0.5384031177832945,4.077141,16,72383,74002
391,74197,0.5438939491955467,4.077141,16,72383,74002
392,74197,0.5456317054467182,4.077141,16,72383,74002
393,74197,0.5275024498730599,4.077141,16,72383,74002
394,74197,0.5443815668193296,4.077141,16,72383,74002
395,74197,0.5217871763110462,4.077141,16,72383,74002
396,74197,0.5285468986798503,4.077141,16,72383,74002
397,74197,0.5135493278999398,4.077141,16,72383,74002
398,74197,0.5236214683706774,4.077141,16,72383,74002
399,74197,0.49663032611490415,4.077141,16,72383,74002
400,74197,0.5180323397530091,4.077141,16,72383,74002
401,74197,0.5163628533483938,4.077141,16,72383,74002
402,74197,0.5201389399385885,4.077141,16,72383,74002
403,74197,0.5388371136457449,4.077141,16,72383,74002
404,74197,0.5393739574706982,4.077141,16,72383,74002
405,74197,0.526049066543292,4.077141,16,72383,74002
406,74197,0.5468582035925112,4.077141,16,72383,74002
407,74197,0.5454402178092663,4.077141,16,72383,74002
408,74197,0.5291220862655525,4.077141,16,72383,74002
409,74197,0.5270203194561579,4.077141,16,72383,74002
410,74197,0.5014806154852237,4.077141,16,72383,74002
411,74197,0.5021897994287678,4.077141,16,72383,74002
412,74197,0.5366752781177845,4.077141,16,72383,74002
413,74197,0.5015151858414636,4.077141,16,72383,74002
414,74197,0.5388100114302339,4.077141,16,72383,74002
415,74197,0.5459222043357094,4.077141,16,72383,74002
416,74197,0.5193331101108475,4.077141,16,72383,74002
417,74197,0.5448902152915965,4.077141,16,72383,74002
